100,0.5,0.5,0.2,8509,26.97644591,760,,,,,,,,,,,,,,
100,0.3,0.75,0.2,8666,14.78244996,411,,,,,,,,,,,,,,
100,0.1,0.5,0.2,8691,21.06324029,608,,,,,,,,,,,,,,
100,0.3,0.5,0.2,8747,16.77688766,448,,,,,,,,,,,,,,
100,0.1,1,0.2,8815,25.21405888,719,,,,,,,,,,,,,,
100,0.3,1,0.2,8820,18.88601875,524,,,,,,,,,,,,,,
100,0.1,0.75,0.2,9187,21.92650199,632,,,,,,,,,,,,,,
100,0.5,0.75,0.2,9374,14.44280219,412,,,,,,,,,,,,,,
100,0.5,1,0.2,10019,14.10470295,408,,,,,,,,,,,,,,
100,0.1,0.5,0.2,8194,33.05800796,1071,,,,,,,,,,,,,,
100,0.1,0.75,0.2,9741,16.13956022,527,,,,,,,berlin,,,,,mag. increase in nodes,mag.increase in running time,mag. difference
100,0.1,1,0.2,8801,26.51436663,865,,,,,,100,19.67142199,,,,,2,4.502121108,2.251060554
100,0.3,0.5,0.2,8694,14.60990882,473,,,,,,250,40.00402934,,,,,3.25,6.371044534,1.960321395
100,0.3,0.75,0.2,8333,20.67815399,661,,,,,,500,76.96733478,,,ulysses -> berlin,,,,
100,0.3,1,0.2,8875,17.54287863,570,,,,,,1000,120.2424061,,100,6.818918717,,,,
100,0.5,0.5,0.2,8007,18.98223901,615,,,,,,,ulysses,,250,6.976692542,,,,
100,0.5,0.75,0.2,8011,17.87687922,582,,,,,,100,2.884830104,,500,6.944133224,,,,
100,0.5,1,0.2,8650,14.5104928,473,,,,,,250,5.733953317,,1000,4.744433654,,,,
250,0.3,0.75,0.2,7982,33.58530593,387,,,,,,500,11.08379294,, ,berlin  -> kro,,,,
250,0.3,0.5,0.2,8336,30.09676266,354,,,,,,1000,25.34389031,,500,4.25065709,,,,
250,0.5,0.5,0.2,8343,38.36620307,448,,,,,,,kro,,1000,4.753585125,,,,
250,0.1,0.75,0.2,8611,34.65356851,408,,,,,,500,327.1617473,,,,,,,
250,0.5,0.75,0.2,8740,33.42221427,391,,,,,,1000,571.5825131,,,,,,,
250,0.5,1,0.2,9221,38.56228685,450,,,,,,,,,,,,,,
250,0.1,1,0.2,9342,26.66895413,314,,,,,,,,,,,,,,
250,0.3,1,0.2,9364,36.34187579,425,,,,,,,,,,,,,,
250,0.1,0.5,0.2,9696,20.95609713,246,,,,,,,,,,,,,,
250,0.1,0.5,0.2,8031,81.65973997,1023,,,,,,,,,,,,,,
250,0.1,0.75,0.2,8424,48.93766594,626,,,,,,,,,,,,,,
250,0.1,1,0.2,8670,53.42023063,686,,,,,,,,,,,,,,
250,0.3,0.5,0.2,8200,43.63396883,563,,,,,,,,,,,,,,
250,0.3,0.75,0.2,8713,42.91959691,552,,,,,,,,,,,,,,
250,0.3,1,0.2,8532,36.5614388,475,,,,,,,,,,,,,,
250,0.5,0.5,0.2,8076,42.60023737,529,,,,,,,,,,,,,,
250,0.5,0.75,0.2,8259,40.01638007,509,,,,,,,,,,,,,,
250,0.5,1,0.2,8229,37.67000127,489,,,,,,,,,,,,,,
500,0.3,0.75,0.2,8086,67.70037794,403,,,,,,,,,,,,,,
500,0.1,1,0.2,8115,123.0315146,722,,,,,,,,,,,,,,
500,0.1,0.5,0.2,8252,142.936069,836,,,,,,,,,,,,,,
500,0.5,1,0.2,8297,74.66440511,442,,,,,,,,,,,,,,
500,0.5,0.5,0.2,8322,72.21545744,428,,,,,,,,,,,,,,
500,0.3,0.5,0.2,8338,68.35699916,402,,,,,,,,,,,,,,
500,0.3,1,0.2,8350,64.30986094,383,,,,,,,,,,,,,,
500,0.5,0.75,0.2,8399,58.4926796,347,,,,,,,,,,,,,,
500,0.1,0.75,0.2,8642,50.25991797,296,,,,,,,,,,,,,,
500,0.1,0.5,0.2,8441,85.14588809,545,,,,,,,,,,,,,,
500,0.1,0.75,0.2,8473,72.8620975,471,,,,,,,,,,,,,,
500,0.1,1,0.2,8128,83.74832177,537,,,,,,,,,,,,,,
500,0.3,0.5,0.2,8117,78.88811183,509,,,,,,,,,,,,,,
