500,0.1,1,0.2,24102,339.2656348,856,,,,,,
500,0.3,0.75,0.2,25540,384.2687616,862,,,,,,
500,0.2,1,0.2,26078,398.6574159,1025,,,,,,
500,0.3,1,0.2,26532,264.6963537,573,,,,,,
500,0.2,0.75,0.2,28785,300.2926586,719,,,,,,
500,0.1,0.75,0.2,30193,275.7896593,687,,,,,,
1000,0.1,1,0.2,22870,456.5947442,633,,,,,,
1000,0.2,1,0.2,23824,870.9017541,976,,,,,500,327.1617473
1000,0.3,1,0.2,24758,492.309797,707,,,,,1000,571.5825131
1000,0.3,0.75,0.2,25070,488.2125633,678,,,,,,
1000,0.2,0.75,0.2,25483,622.4093511,797,,,,,,
1000,0.1,0.75,0.2,26672,499.0668688,607,,,,,,
